rank,file,mel_l1,mel_cos_dist,log_rms_delta,duration_diff_sec,duration_sec,text
1,006_058_0195.wav,2.393097400665283,0.755294919013977,2.1936971242921777,0.0,1.74,"Langsung hajar raya, wow!"
2,008_096_0032.wav,2.369429111480713,0.4201527237892151,1.7065174103530234,0.0,1.541,Karena masa seru itu.
3,006_058_0198.wav,2.349874973297119,0.9982414841651917,7.0780135008016725,0.0,2.001,Wih!
4,011_124_0071.wav,2.232137441635132,0.959166944026947,7.041969695786406,0.0,2.061,Terima kasih.
5,006_065_0228.wav,2.016615152359009,0.3756239414215088,0.45501372309903493,0.0,2.581,"Nggak boleh dibandingin sih, nggak adil banget sih."
6,006_068_0147.wav,1.999714732170105,0.996423602104187,6.904175388569058,0.0,1.62,Cuma sama bagus sih.
7,006_062_0136.wav,1.9823541641235352,0.9973006248474121,6.822699523571408,0.0,1.881,Kayaknya bass A5 tuh lebih mantep ya.
8,006_065_0224.wav,1.9496937990188599,0.6896180510520935,2.017938948195667,0.0,1.882,Cuma kok nggak sebening itu ya?
9,006_058_0197.wav,1.921771764755249,0.956085205078125,6.497450159142949,0.0,2.862,Wih!
10,006_068_0143.wav,1.8488868474960327,0.5315583944320679,1.6823730584385408,0.0,4.483,Ini nilainya bisa 8.5-9 buat kelas midrange.
11,003_034_0047.wav,1.8304461240768433,0.9944979548454285,7.327039299280027,0.0,1.922,Ia diam sejenak dan tertawa.
12,017_237_0118.wav,1.819268822669983,0.1206275224685669,1.5001746251106212,0.0,1.401,Kita akan belajar lagi ya.
13,011_116_0094.wav,1.7850302457809448,0.5084013938903809,0.9331079643908304,0.0,1.665,Programmer zaman nah
14,006_067_0201.wav,1.7814607620239258,0.4102686047554016,0.9370810761838972,0.0,5.542,"Suaranya asik sih, kenceng, rame, cuma rasanya kok kurang... Bening ya?"
15,008_087_0023.wav,1.7641912698745728,0.2803199887275696,0.9402337112490918,0.0,1.681,"Yes, ini yang kedua kalinya."
16,006_058_0199.wav,1.7615482807159424,0.4384208917617798,0.2961854059415937,0.0,2.422,"Ajar ya, enak juga ya pake gini-gini."
17,003_031_0032.wav,1.7557417154312134,0.540068507194519,2.570055203314543,0.0,1.8,Persis seperti yang kumau.
18,003_030_0063.wav,1.739163875579834,0.5348683595657349,2.7905589548446064,0.0,2.964,"Lagi pula, Sarah berkata hanya satu minggu."
19,011_114_0123.wav,1.7381032705307007,0.41200023889541626,0.8180424279817884,0.0,3.605,Programmer zaman now
20,008_096_0001.wav,1.7343201637268066,0.17269527912139893,1.7197529806333078,0.0,7.802,"Karena aku pikir dulu itu tuh normal untuk nggak mengerjakan hal yang aku pengen lakukan atau tujuan aku itu setiap hari karena memang manusia tuh ada moodnya, ada naik turunnya yang ternyata nggak."
21,011_115_0079.wav,1.7277876138687134,0.40614503622055054,0.8152699749820616,0.0,3.606,Programmer zaman now
22,006_059_0037.wav,1.7222113609313965,0.4842337965965271,0.8931982108541712,0.0,9.566,sub indo by broth3rmax
23,008_096_0035.wav,1.7021613121032715,0.22960251569747925,1.5620831085219757,0.0,14.18,tapi banyak banget fitur yang aku tuh gemes banget tiap kali ada natifnya atau tiap kali aku hilang sehari dan streaknya mati terus tuh dia nyariin oh iya aku mau kasih tau kalian sesuatu kalau sekarang dua linggo tuh ada streak lucu iya
24,006_067_0204.wav,1.6946852207183838,0.385248064994812,0.8041636290698979,0.0,9.204,"Nggak jelek, tapi... Kayaknya flagship yang harganya mahal, bisa lebih bagus dari ini."
25,008_096_0034.wav,1.6925904750823975,0.29235219955444336,1.2399108301174055,0.0,2.061,Karena kan sebenarnya aku juga pakai Duolingo dari dulu.
26,006_067_0203.wav,1.6908302307128906,0.49158334732055664,0.5491852305897108,0.0,1.741,Agak kopong rasanya.
27,006_065_0178.wav,1.6837048530578613,0.8476073741912842,4.459903878816136,0.0,1.681,Wan malam.
28,002_019_0156.wav,1.6742472648620605,0.9798505902290344,7.287206875014604,0.0,1.521,"Ya, sebenarnya gue nggak ngebantah."
29,006_067_0205.wav,1.673519492149353,0.29383963346481323,0.5406034573608762,0.0,2.843,Ya bassnya juga nggak sebulet itu ya.
30,002_019_0149.wav,1.660961627960205,0.9905129075050354,7.3381586274491974,0.0,1.401,Nah kenapa nggak bangkrut?
31,006_058_0194.wav,1.6553534269332886,0.31351470947265625,0.5425817668380709,0.0,6.8810625,"Buat settingan, dia bisa sampai 120 fps, udah mantap."
32,002_022_0030.wav,1.6486653089523315,0.990721583366394,7.441537609530735,0.0,1.461,"Yang pertama, Develop Market."
33,006_065_0226.wav,1.642670750617981,0.2595309615135193,0.5034827636270687,0.0,2.92,"7 lah, nggak spesial tapi nggak jelek juga."
34,008_096_0002.wav,1.6227699518203735,0.2132340669631958,1.2548079000884422,0.0,3.745,"Aku menyerahkan masa depan aku ke sesuatu yang nggak stabil, which is we cannot be like that."
35,006_063_0305.wav,1.615654468536377,0.7031473517417908,2.457598168057651,0.0,2.602,"Tuh, kurang rapi aja sih."
36,006_063_0302.wav,1.6154299974441528,0.9968709945678711,6.6580842442075365,0.0,2.862,"Butak juga, kurangnya itu si flow ini."
37,006_062_0138.wav,1.611128807067871,0.6977293491363525,2.723575382752402,0.0,1.42,"Ingat sih, coba ya."
38,006_065_0229.wav,1.600911259651184,0.3168277144432068,0.5949238039126217,0.0,3.6,Cuma ini standar HP biasa pun agak butek.
39,008_095_0005.wav,1.5876132249832153,0.15400105714797974,1.762435425878004,0.0,9.903,"Karena terlalu banyak yang kamu pertimbangkan sampai akhirnya kayak, oke gak mulai lagi dan akhirnya besok, oke gak mulai lagi juga dan akhirnya besok-besok-besok-besoknya lagi, kamu ngerasa guilty."
40,003_031_0103.wav,1.5737695693969727,0.1495882272720337,1.6220668471956845,0.0,6.306,Michael menyeka wajah karena kata-kata si tukang kayu membuat ia membayangkan semua tantangan yang dihadapinya.
41,006_070_0112.wav,1.5733102560043335,0.42376160621643066,1.3341083697421021,0.0,1.723,Oh anti radiasinya!
42,006_065_0251.wav,1.571601152420044,0.2471538782119751,0.48980128794547706,0.0,4.882,Ya untung buat main gamenya juga berasa rame ya kalau volumenya kita kencengin.
43,002_016_0067.wav,1.5677036046981812,0.8087303638458252,3.6458472956346375,0.0,1.821,Gimana soal customer service-nya?
44,010_107_0122.wav,1.560606598854065,0.9748488664627075,6.9744783132943455,0.0,1.521,Ada aset yang diambil.
45,003_033_0024.wav,1.5553410053253174,0.8249694108963013,5.566107173006066,0.0,1.641,Si tukang kayu tergalak.
46,006_065_0225.wav,1.545228362083435,0.2700018882751465,0.4133265357026245,0.0,3.241,"Ya biasa aja sih, biasa aja sih."
47,008_095_0009.wav,1.5435938835144043,0.178705632686615,1.588307110587764,0.0,4.182,"Halo semuanya, selamat datang kembali di VIRTUAL BESTI!"
48,010_112_0166.wav,1.5398741960525513,0.6473519802093506,2.488761055892652,0.0,1.621,"Nah, ini dia."
49,006_067_0206.wav,1.5368587970733643,0.27059227228164673,0.5136957351963642,0.0,5.286,"Kemaren iQOO 15 waktu dapet update, langsung lebih mantep dari ini."
50,003_028_0047.wav,1.5329378843307495,0.7038964629173279,3.6966953064851205,0.0,1.701,Aku kalah bertarung.
51,008_096_0003.wav,1.5239707231521606,0.22567987442016602,1.310961846475387,0.0,3.244,"Dan ingat disiplin itu bukan punishment, disiplin itu self-respect."
52,018_210_0252.wav,1.5220259428024292,0.2940700054168701,1.0796242699982954,0.0,2.361,Sampai ketemu lagi di episode selanjutnya.
53,006_061_0123.wav,1.5154736042022705,0.9982507228851318,6.565671700553645,0.0,1.4,"Oh, barusan kecil."
